applicant_id,age,gender,married,dependents,education,self_employed,employment_status,years_employed,applicant_income,coapplicant_income,loan_amount,loan_term,credit_score,existing_loans,debt_to_income_ratio,previous_repayment_history,property_area,property_asset_value,bank_account_years,avg_bank_balance,loan_status
APP104710,31,Male,Yes,2,Not Graduate,No,Salaried,12.0,4660.0,1540.0,32.3,360,524.0,0,0.296,0,Semiurban,22300.0,4.6,2960.0,Rejected
APP100691,34,Male,Yes,0,Not Graduate,Yes,Salaried,3.8,2290.0,0.0,10.3,60,554.0,0,0.229,1,Urban,85900.0,7.2,1130.0,Rejected
APP100065,33,Female,No,1,Graduate,No,Salaried,0.9,4820.0,0.0,14.1,12,700.0,0,0.131,1,Semiurban,39800.0,4.6,2890.0,Approved
APP103426,35,Female,No,0,Graduate,No,Salaried,7.2,12340.0,0.0,37.6,360,569.0,1,0.269,0,Semiurban,,3.0,1460.0,Approved
APP104820,34,Female,Yes,1,Not Graduate,No,Salaried,4.3,4200.0,2450.0,36.7,360,507.0,0,0.048,1,Urban,19400.0,3.1,9750.0,Rejected
APP100393,40,Male,Yes,1,Not Graduate,No,Business Owner,2.0,16460.0,0.0,80.0,120,606.0,0,0.174,1,Semiurban,18000.0,18.2,3020.0,Approved
APP101424,46,Female,Yes,0,Graduate,Yes,Salaried,1.5,1220.0,0.0,10.0,84,643.0,0,0.107,1,Semiurban,14900.0,8.5,10760.0,Rejected
APP100642,23,Male,No,1,Graduate,No,Salaried,13.0,3950.0,3210.0,26.5,240,834.0,0,0.125,1,Urban,36400.0,7.2,2330.0,Approved
APP102835,28,Female,Yes,0,Not Graduate,No,Business Owner,0.7,11380.0,1190.0,64.6,84,846.0,1,0.148,1,Urban,27200.0,4.8,4550.0,Approved
APP101738,54,Female,Yes,0,Graduate,No,Salaried,8.0,4380.0,1100.0,30.5,240,703.0,0,0.483,0,Rural,27900.0,4.6,2560.0,Rejected
APP102945,54,Female,Yes,0,Graduate,No,Business Owner,1.9,2370.0,2700.0,10.2,180,729.0,1,0.146,0,Rural,33300.0,5.5,17380.0,Approved
APP102067,39,Male,No,2,Not Graduate,No,Self-Employed,6.0,6660.0,0.0,23.3,180,,0,0.385,1,Rural,39600.0,1.4,5250.0,Rejected
APP103347,33,Female,No,3+,Graduate,Yes,Salaried,1.8,3550.0,0.0,12.5,36,725.0,1,0.189,1,Urban,31900.0,8.2,1280.0,Approved
APP100530,43,Female,No,1,Not Graduate,No,Salaried,3.4,3670.0,0.0,10.0,120,595.0,1,0.172,1,Urban,61900.0,4.2,3310.0,Approved
APP104301,52,Female,No,0,Not Graduate,No,Self-Employed,2.4,1520.0,0.0,10.0,240,726.0,0,0.078,1,Urban,78900.0,4.3,1690.0,Approved
APP100828,38,Female,Yes,0,Not Graduate,No,Self-Employed,1.4,14370.0,5390.0,91.4,36,717.0,0,0.414,1,Rural,9200.0,2.2,6920.0,Rejected
APP101204,22,Male,Yes,3+,Graduate,Yes,Salaried,0.6,8330.0,0.0,32.5,60,622.0,0,0.307,1,Rural,25900.0,3.4,2060.0,Rejected
APP100179,51,Male,No,1,Not Graduate,No,Salaried,3.1,3810.0,2730.0,33.5,360,600.0,0,0.05,1,Semiurban,30400.0,3.5,3050.0,Rejected
APP102765,22,Male,Yes,1,Not Graduate,Yes,Self-Employed,4.4,2240.0,0.0,10.0,12,712.0,2,0.417,1,Semiurban,,11.6,20690.0,Approved
APP101777,40,Male,Yes,0,Graduate,No,Salaried,2.9,3630.0,0.0,14.9,36,848.0,2,0.217,1,Urban,52100.0,11.1,8030.0,Approved
APP104927,47,Male,No,1,Graduate,Yes,Salaried,10.5,5100.0,0.0,20.0,120,584.0,0,0.275,1,Semiurban,25600.0,12.4,13660.0,Approved
APP100491,45,Male,Yes,1,Not Graduate,No,Business Owner,1.7,3360.0,1190.0,,180,648.0,0,0.39,1,Semiurban,39000.0,4.1,11260.0,Approved
APP104653,47,Female,Yes,0,Graduate,No,Salaried,1.0,1390.0,0.0,10.0,180,813.0,2,0.426,0,Urban,95300.0,1.7,5810.0,Approved
APP100033,36,Male,Yes,0,Graduate,No,Salaried,0.5,9710.0,3120.0,42.2,60,733.0,0,0.441,1,Semiurban,17100.0,0.3,840.0,Rejected
APP103022,51,Male,Yes,1,Graduate,No,Salaried,2.8,2280.0,3060.0,30.3,84,656.0,0,0.212,1,Urban,7600.0,6.1,2150.0,Rejected
APP103620,43,Male,Yes,0,Not Graduate,No,Salaried,7.9,6170.0,1550.0,34.0,120,581.0,2,0.289,1,Rural,49000.0,7.2,10960.0,Rejected
APP100485,28,Female,Yes,3+,Graduate,No,Salaried,2.8,4560.0,1900.0,21.2,12,820.0,1,0.311,1,Urban,27500.0,3.4,2670.0,Approved
APP100079,43,Male,No,0,Not Graduate,No,Self-Employed,3.0,2830.0,1720.0,22.6,12,669.0,1,0.149,1,Semiurban,36800.0,9.4,2610.0,Approved
APP101344,21,Female,No,2,Not Graduate,No,Self-Employed,0.2,2860.0,0.0,14.3,36,660.0,0,0.108,1,Semiurban,82400.0,4.1,1680.0,Approved
APP100577,31,Male,Yes,1,Graduate,No,Salaried,0.6,5200.0,0.0,10.3,240,782.0,3,0.289,1,Semiurban,78800.0,8.7,6670.0,Approved
APP101175,45,Female,Yes,3+,Not Graduate,No,Salaried,4.0,3920.0,1210.0,27.5,120,698.0,2,0.251,1,Urban,44600.0,4.4,7390.0,Approved
APP101487,27,Female,No,1,Graduate,No,Unemployed,0.0,9070.0,2450.0,61.1,120,586.0,0,0.294,1,Semiurban,8300.0,6.6,12040.0,Rejected
APP100497,31,Male,No,1,Not Graduate,No,Salaried,4.3,6450.0,700.0,,360,703.0,0,0.388,1,Rural,72000.0,7.0,3280.0,Approved
APP104102,52,Female,No,0,Graduate,No,Self-Employed,2.7,3760.0,2020.0,12.6,360,545.0,0,0.051,1,Semiurban,22300.0,1.2,2120.0,Rejected
APP101144,51,Female,Yes,2,Graduate,No,Unemployed,0.0,9630.0,2450.0,27.4,360,605.0,0,0.064,1,Urban,9600.0,26.2,6850.0,Rejected
APP103734,44,Female,No,0,Graduate,No,Salaried,2.0,8830.0,1750.0,51.9,180,605.0,1,0.234,1,Rural,50800.0,3.3,3010.0,Approved
APP104237,38,Male,Yes,3+,Not Graduate,No,Salaried,2.2,3620.0,2990.0,25.6,36,472.0,0,0.241,1,Rural,8600.0,3.7,7340.0,Rejected
APP103243,23,Male,Yes,1,Graduate,No,Business Owner,12.9,3360.0,0.0,19.5,360,637.0,1,0.267,1,Semiurban,58700.0,1.8,3600.0,Rejected
APP101235,21,Male,Yes,0,Graduate,Yes,Self-Employed,2.3,2720.0,0.0,10.0,120,789.0,0,0.313,1,Semiurban,38300.0,4.1,11090.0,Approved
APP104568,39,Female,Yes,0,Graduate,Yes,Salaried,2.7,4660.0,1470.0,11.6,60,558.0,0,0.498,1,Rural,65000.0,5.7,1040.0,Rejected
APP104267,26,Male,No,1,Not Graduate,No,Self-Employed,5.3,5200.0,2490.0,37.8,180,567.0,1,0.559,1,Rural,48000.0,2.1,2910.0,Rejected
APP100624,26,Male,Yes,0,Not Graduate,Yes,Salaried,2.5,6080.0,980.0,,180,686.0,1,0.062,1,Semiurban,11900.0,1.8,12720.0,Approved
APP101629,37,Male,No,0,Graduate,No,Salaried,14.1,8720.0,2980.0,53.2,240,765.0,0,0.274,1,Rural,39600.0,2.2,2300.0,Approved
APP100199,28,Male,No,1,Graduate,No,Unemployed,0.0,5720.0,1990.0,38.0,84,449.0,0,0.278,1,Urban,88900.0,0.7,29310.0,Rejected
APP103613,34,Female,No,2,Not Graduate,,Salaried,5.9,9090.0,0.0,25.2,180,669.0,1,0.257,1,Urban,18700.0,7.7,2080.0,Rejected
APP101988,28,Male,No,0,Not Graduate,Yes,Salaried,5.1,3190.0,0.0,11.5,120,631.0,1,0.591,1,Rural,23200.0,0.6,2270.0,Rejected
APP102344,21,Male,No,,Not Graduate,No,Unemployed,0.0,6730.0,0.0,19.4,180,839.0,1,0.308,1,Rural,20600.0,1.0,3230.0,Approved
APP103263,38,Male,Yes,0,Graduate,No,Salaried,2.4,6330.0,1400.0,45.5,60,535.0,0,0.461,1,Semiurban,22000.0,14.5,4870.0,Rejected
APP101905,53,Male,No,0,Graduate,No,Salaried,4.7,7180.0,2580.0,43.2,120,673.0,2,0.394,0,Semiurban,70900.0,7.7,3240.0,Rejected
APP100765,48,Male,Yes,3+,Graduate,No,Unemployed,0.0,3950.0,0.0,17.8,12,536.0,2,0.293,0,Urban,12800.0,0.2,2340.0,Rejected
APP100803,47,Female,Yes,1,Graduate,No,Salaried,4.2,6070.0,0.0,13.3,120,756.0,0,0.166,1,Rural,38000.0,19.4,8190.0,Approved
APP101501,31,Male,Yes,0,Not Graduate,No,Self-Employed,8.0,3000.0,1760.0,16.0,60,697.0,0,0.352,1,Semiurban,29400.0,0.2,6950.0,Approved
APP101770,34,Female,Yes,3+,Graduate,No,Salaried,4.2,5290.0,0.0,10.4,60,641.0,3,0.175,1,Semiurban,20900.0,6.3,8520.0,Rejected
APP100106,26,Male,Yes,0,Graduate,Yes,Unemployed,0.0,7610.0,0.0,26.2,84,568.0,1,0.552,1,Rural,14900.0,11.7,810.0,Rejected
APP102964,37,Male,Yes,0,Graduate,Yes,Salaried,1.0,10140.0,0.0,29.6,120,653.0,1,0.145,1,Urban,24600.0,0.0,5890.0,Rejected
APP100838,36,Female,Yes,2,Graduate,No,Salaried,4.9,1270.0,900.0,10.0,360,715.0,1,0.382,1,Semiurban,70100.0,15.9,3550.0,Approved
APP103971,46,Male,Yes,0,Graduate,No,Salaried,1.7,4320.0,3580.0,31.9,120,806.0,0,0.206,1,Rural,29900.0,4.2,7340.0,Approved
APP100705,46,Male,Yes,2,Graduate,No,Business Owner,6.0,3170.0,1450.0,10.7,12,662.0,1,0.337,1,Rural,39200.0,0.2,5720.0,Rejected
APP104150,23,Male,Yes,0,Graduate,No,Self-Employed,11.0,6440.0,3160.0,17.0,84,604.0,1,0.131,1,Rural,10400.0,6.0,5360.0,Rejected
APP103179,54,Female,No,2,Graduate,No,Self-Employed,1.9,4610.0,1830.0,28.0,60,565.0,1,0.075,1,Rural,11300.0,5.9,4180.0,Rejected
APP104776,42,Male,No,0,Graduate,Yes,Unemployed,0.0,5130.0,0.0,20.1,12,624.0,1,0.375,1,Rural,36200.0,1.4,3780.0,Rejected
APP100228,21,Male,Yes,0,Not Graduate,No,Self-Employed,9.3,3020.0,0.0,10.0,60,719.0,1,0.183,1,Rural,28400.0,1.4,15300.0,Approved
